Id: CMSSW
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              000                    001                    002                    003        
Frame 0187    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0188    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0189    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0190    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0191    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0192    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0193    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0194    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0195    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0196    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0197    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0198    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0199    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0200    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0201    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0202    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0203    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0204    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0205    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0206    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0207    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0208    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0209    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0210    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0211    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0212    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0213    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
